,egypt_irr,egypt_90,egypt_low_had,sudan_irr,sudan_90,ethiopia_hydro,EgyptIncome,SudanIncome,EthiopiaUtility,pol_efficiency,poa_egypt,poa_sudan,poa_ethiopia,policy_name,total gains,ss_pi_Egypt,ss_pi_Sudan,ss_pi_Ethiopia,ss_fairness,dif_Egypt,dif_Sudan,dif_Ethiopia,totaldist,pd_egypt,pd_sudan,pd_ethiopia,avg_pd,rank_totaldist,rank_PI,rank_PD,Total Policy Efficiency,"Policy Efficiency, Egypt","Policy Efficiency, Sudan","Policy Efficiency, Ethiopia"
0,5.583527933,1.0798089,0.541666667,0.027608327,0,14.4189623,5.631499327,0.533190097,0.517232105,0.864354773,0.82698777,0.997019763,0.952922366,0,0.632045422,0.800187992,0.114334165,0.085477843,1.213696063,-0.295069327,0.138417903,0.156575895,0.36158185,0.022108459,-0.140807373,-0.346803888,-0.155167601,119,119,117,0.864354773,0.82698777,0.997019763,0.952922366
1,4.889959088,1.355717299,0.245833333,0,0,14.47370666,5.696287294,0.500105715,0.48552852,0.924290573,0.894506343,1,0.956540319,1,0.632045422,0.902693231,0.061989223,0.035317546,1.479781328,-0.359857294,0.171502285,0.18827948,0.440862188,0.010483285,-0.083967677,-0.304152101,-0.125878831,318,318,314,0.924290573,0.894506343,1,0.956540319
2,4.668365273,1.237320176,0.295833333,0,0,14.37327591,5.706897363,0.496419035,0.47860513,0.931154862,0.902827944,1,0.949903038,2,0.632045422,0.919480108,0.056156288,0.024363604,1.523600514,-0.370467363,0.175188965,0.19520287,0.453917835,0.008604629,-0.077164719,-0.294086129,-0.120882073,349,349,356,0.931154862,0.902827944,1,0.949903038
3,8.227110772,2.286886884,0.0125,0.06778326,0,15.0009328,5.511777056,0.58111569,0.589028783,0.789632928,0.739434839,0.992698831,0.991383713,3,0.632045422,0.610767632,0.190160351,0.199072017,0.720919394,-0.175347056,0.09049231,0.084779217,0.214762575,0.044309855,-0.211666441,-0.426421918,-0.197926168,30,30,39,0.789632928,0.739434839,0.992698831,0.991383713
4,5.078873876,0.863157165,0.570833333,0.008684974,0,13.6952176,5.679181699,0.522397446,0.480342384,0.884018859,0.85296323,0.999061525,0.905091427,4,0.632045422,0.87562936,0.097258414,0.027112226,1.412849857,-0.342751699,0.149210554,0.193465616,0.420917404,0.013526843,-0.123056586,-0.296639207,-0.13538965,262,262,238,0.884018859,0.85296323,0.999061525,0.905091427
5,8.58569291,1.985571556,0,0.026690638,0,14.61323338,5.501281008,0.595368012,0.585272508,0.774161728,0.723566652,0.997118683,0.96576138,5,0.632045422,0.594161155,0.212709873,0.193128972,0.678286781,-0.164851008,0.076239988,0.088535492,0.202056734,0.046302323,-0.230538103,-0.422740698,-0.202325492,29,29,37,0.774161728,0.723566652,0.997118683,0.96576138
6,4.874113863,0.393231341,0.4875,0.124114373,0,10.95089846,5.785759334,0.51371448,0.382447715,0.887812353,0.872699172,0.986671648,0.723724485,6,0.632045422,1.04425274,0.08352053,-0.12777327,1.87401831,-0.449329334,0.15789352,0.291360285,0.55831714,-0.005143013,-0.108234208,-0.116600815,-0.076659345,492,492,495,0.887812353,0.872699172,0.986671648,0.723724485
7,7.719424154,1.857032701,0,0.005288193,0,14.54426584,5.55597773,0.569768508,0.556175291,0.810818437,0.765362408,0.999428467,0.961203443,7,0.632045422,0.680700382,0.172207239,0.147092379,0.903271996,-0.21954773,0.101839492,0.117632709,0.269090955,0.036001831,-0.195966443,-0.392540436,-0.184168349,44,44,51,0.810818437,0.765362408,0.999428467,0.961203443
8,8.685993697,1.774065094,0,0.072015808,0,14.79310241,5.491380423,0.595261206,0.5952799,0.770515798,0.71886294,0.992244697,0.977648589,8,0.632045422,0.578496798,0.212540888,0.208962314,0.636975983,-0.154950423,0.076346794,0.0785281,0.189750175,0.048188735,-0.230400041,-0.43244514,-0.204885482,26,26,36,0.770515798,0.71886294,0.992244697,0.977648589
9,4.801498176,1.345017153,0.25,0,0,14.42846213,5.702053133,0.497946934,0.481921462,0.928297709,0.899293707,1,0.953550192,9,0.632045422,0.911815738,0.058573675,0.029610587,1.503569156,-0.365623133,0.173661066,0.191886538,0.447949645,0.009461499,-0.079996344,-0.29894386,-0.123159569,328,328,336,0.928297709,0.899293707,1,0.953550192
10,6.450260966,1.572082813,0.0625,0,0,14.47593963,5.625947961,0.535754813,0.520218755,0.862788326,0.824675299,1,0.956687892,10,0.632045422,0.791404816,0.118391969,0.090203215,1.190855522,-0.289517961,0.135853187,0.153589245,0.354776541,0.023117018,-0.144920421,-0.35055398,-0.157452461,105,105,99,0.862788326,0.824675299,1,0.956687892
11,6.549202581,1.676454925,0.070833333,0.110727384,0,15.02421054,5.608137985,0.531598604,0.54218494,0.859187031,0.818633324,0.988100692,0.992922095,11,0.632045422,0.763226499,0.111816162,0.124957339,1.117069137,-0.271707985,0.140009396,0.13162306,0.332794966,0.026366169,-0.138235134,-0.376865761,-0.162911575,71,71,82,0.859187031,0.818633324,0.988100692,0.992922095
12,6.438471368,1.753847476,0.041666667,0.182299686,0,14.95351415,5.623101906,0.523390709,0.535428915,0.86593431,0.827263604,0.980484235,0.988249902,12,0.632045422,0.786901888,0.098829919,0.114268194,1.178633188,-0.286671906,0.148217291,0.138379085,0.351138033,0.023634854,-0.124720802,-0.369003072,-0.15669634,95,95,106,0.86593431,0.827263604,0.980484235,0.988249902
13,5.773086134,1.567138793,0.254166667,0.07687096,0,15.00718172,5.633695772,0.520201983,0.528023773,0.881229785,0.843462102,0.991724014,0.991796692,13,0.632045422,0.80366313,0.09378483,0.10255204,1.222023421,-0.297265772,0.151406017,0.145784227,0.364065601,0.021709963,-0.11935553,-0.360153809,-0.152599792,122,122,129,0.881229785,0.843462102,0.991724014,0.991796692
14,6.693674439,1.541451351,0,1.544967707,0.564337958,12.85508095,5.740202181,0.466330745,0.475388603,0.838435296,0.817673189,0.845849818,0.84956836,14,0.632045422,0.972173818,0.008551654,0.019274527,1.659834199,-0.403772181,0.205277255,0.198419397,0.494510852,0.002752676,-0.017622139,-0.289309845,-0.101393102,415,415,431,0.838435296,0.817673189,0.845849818,0.84956836
15,8.065482928,2.112734294,0.016666667,0.053164916,0,14.9966615,5.520752616,0.577199677,0.583969236,0.796247574,0.74684319,0.994268911,0.991101431,15,0.632045422,0.624968447,0.183964573,0.19106698,0.757765146,-0.184322616,0.094408323,0.089838764,0.225740474,0.042612031,-0.20631799,-0.4214524,-0.195052786,34,34,43,0.796247574,0.74684319,0.994268911,0.991101431
16,5.611700668,1.487635347,0.104166667,0,0,14.23396062,5.676340665,0.514424044,0.491156821,0.89856414,0.866563815,1,0.94069595,16,0.632045422,0.871134377,0.084643177,0.044222446,1.398562967,-0.339910665,0.157183956,0.182651179,0.416662345,0.014034118,-0.109464253,-0.312126014,-0.13585205,242,242,234,0.89856414,0.866563815,1,0.94069595
17,4.647286254,1.210979953,0.320833333,0,0,14.38319637,5.705595774,0.496913368,0.479412387,0.930228543,0.901724099,1,0.950558662,17,0.632045422,0.91742078,0.056938403,0.025640817,1.518229707,-0.369165774,0.174694632,0.194395613,0.452317629,0.008834717,-0.078082762,-0.29527478,-0.121507608,344,344,352,0.930228543,0.901724099,1,0.950558662
18,6.150863395,0.988473471,0.241666667,0.015659973,0,11.99691433,5.701987942,0.542574951,0.437358636,0.850502028,0.823919277,0.998308462,0.792853726,18,0.632045422,0.911712595,0.129182552,-0.040895146,1.524175777,-0.365557942,0.129033049,0.236449364,0.454081973,0.00947304,-0.155668726,-0.227512681,-0.124569456,350,350,323,0.850502028,0.823919277,0.998308462,0.792853726
