,epsilon_progress,nfe
0,0,0
1,20,100
2,75,600
3,165,1100
4,223,1600
5,273,2100
6,310,2600
7,334,3100
8,362,3600
9,394,4100
10,421,4600
11,455,5100
12,485,5600
13,505,6100
14,527,6600
15,549,7100
16,568,7600
17,585,8100
18,603,8600
19,626,9100
20,646,9600
21,660,10564
22,697,11316
23,737,12068
24,785,12820
25,841,13572
26,882,14324
27,922,15076
28,967,15828
29,1007,16580
30,1053,17332
31,1084,18084
32,1117,18836
33,1132,19588
34,1168,20340
35,1201,21092
36,1236,21844
37,1265,22596
38,1297,23348
39,1336,24100
40,1376,24852
41,1424,25604
42,1459,26356
43,1499,27108
44,1539,27860
45,1566,28612
46,1594,29364
47,1617,30116
48,1649,30868
49,1677,31620
50,1711,32372
51,1745,33124
52,1769,33876
53,1791,34628
54,1826,35380
55,1857,36132
56,1891,36884
57,1922,37636
58,1953,38388
59,1980,39140
60,2009,39892
61,2039,40644
62,2066,41396
63,2086,42148
64,2110,42900
65,2127,43652
66,2154,44404
67,2183,45156
68,2205,45908
69,2228,46660
70,2254,47412
71,2274,48164
72,2300,48916
73,2328,49668
74,2350,50420
